TimezoneId,Name,UtcOffset
107,+00:00(Etc/GMT),0:00:00
108,+00:00(Etc/GMT+O),0:00:00
109,+00:00(Etc/GMT-O),0:00:00
110,+00:00(Etc/GMTO),0:00:00
111,+00:00 (Etc/Greernmich),0:00:00
112,+00:00(GMT),0:00:00
113,+00:00(GMT+O),0:00:00
114,+00:00(GMT-O),0:00:00
115,+00:00(GMTO),0:00:00
116,+00:00(Greenwich),0:00:00
117,+01:00 (Etc/GMT-1),1:00:00
118,+02:00(Etc/GMT-2),2:00:00
119,+03:00(Etc/GMT-3),3:00:00
120,+04:00 (Etc/GMT-4),4:00:00
121,+05:00(Etc/GMT-5),5:00:00
122,+06:00(Etc/GMT-6),6:00:00
123,+07:00(Etc/GMT-7),7:00:00
124,+08:00(Etc/GMT-8),8:00:00
125,+09:00(Etc/GMT-9),9:00:00
126,+10:00 (Etc/GMT-10),10:00:00
127,+11:00 (Etc/GMT-11),11:00:00
128,+12:00 (Etc/GMT- 1,12:00:00
129,+13:00 (Etc/GMT- 13),13:00:00
130,+14:00 (Etc/GMT-14),14:00:00
131,-01:00 (Etc/GMT+1),-1:00:00
132,-02:00 (Etc/GMT+2),-2:00:00
133,-03:00 (Etc/GMT+3),-3:00:00
134,-04:00 (Etc/GMT+4),-4:00:00
135,-05:00 (Etc/GMT+5),-5:00:00
136,-06:00 (Etc/GMT+6),-6:00:00
137,-07:00 (Etc/GMT+7),-7:00:00
138,-08:00 (Etc/GMT+8),-8:00:00
139,-09:00 (Etc/GMT+9),-9:00:00
140,-10:00 (Etc/GMT+10),-10:00:00
141,-11:00 (Etc/GMT+11),-11:00:00
142,-12:00 (Etc/GMT+12),-12:00:00
143,Afghanistan Time (Asia/Kabul),4:30:00
144,Alaska Standard Time (America/Metlakatla),-9:00:00
145,Alaska Standard Time (America/Sitka),-9:00:00
146,Alaska Time (America/Anchorage),-9:00:00
147,Alaska Time (America/Juneau),-9:00:00
148,Alaska Time (America/Nome),-9:00:00
149,Alaska Time (America/Ykutat),-9:00:00
150,Alaska Time (US/Alaska),-9:00:00
151,Alma-Ata Time (Asia/Almaty),6:00:00
152,Amazon Time (America/Boa_Vista),-4:00:00
153,Amazon Time (America/Campo_Grande),-4:00:00
154,Amazon Time (America/Cuiaba),-4:00:00
155,Amazon Time (America/Eirunepe),-5:00:00
156,Amazon Time (America/Manaus),-4:00:00
157,Amazon Time (America/Porto_Acre),-5:00:00
158,Amazon Time (America/Porto_VeIho),-4:00:00
159,Amazon Time (America/Rio_Branco),-5:00:00
160,Amazon Time (Brazil/Acre),-5:00:00
161,Amazon Time (Brazil/West),-4:00:00
162,Anadyr Time (Asia/Anadyr),12:00:00
163,Antarctica/Macquarie,11:00:00
164,Aqtau Time (Asia/Aqtau),4:00:00
165,Aqtobe Time (Asia/Aqtobe),5:00:00
166,Arabia Time (Asia/Aden),3:00:00
167,Arabia Time (Asia/Baghdad),3:00:00
168,Arabia Time (Asia/Bahrain),3:00:00
169,Arabia Time (Asia/Kuwait),3:00:00
170,Arabia Time (Asia/Qatar),3:00:00
171,Arabia Time (Asia/Riyadh),3:00:00
172,Argentine Time (America/Argentina/Buenos_Aires),-3:00:00
173,Argentine Time (America/Argentina/Catamarca),-3:00:00
174,Argentine Time (America/Argentina/ComodRivadavia),-3:00:00
175,Argentine Time (America/Argentina/Cordoba),-3:00:00
176,Argentine Time (America/Argentina/Jujuy),-3:00:00
177,Argentine Time (America/Argentina/La_Rioja),-3:00:00
178,Argentine Time (America/Argentina/Mendoza),-3:00:00
179,Argentine Time (America/Argentina/Rio_Gallegos),-3:00:00
180,Argentine Time (America/Argentina/Salta),-3:00:00
181,Argentine Time (America/Argentina/San_Juan),-3:00:00
182,Argentine Time (America/Argentina/Tucuman),-3:00:00
183,Argentine Time (America/Argentina/Ushuaia),-3:00:00
184,Argentine Time (America/Buenos_Aires),-3:00:00
